,ds,y
474,2024-03-23,258.5
475,2024-03-24,258.5
476,2024-03-25,257.92
477,2024-03-26,257.46
478,2024-03-27,259.73
479,2024-03-28,259.9
480,2024-03-29,259.9
481,2024-03-30,259.9
482,2024-03-31,259.9
483,2024-04-01,259.7
484,2024-04-02,257.3
485,2024-04-03,257.7
486,2024-04-04,254.61
487,2024-04-05,257.18
488,2024-04-06,257.18
489,2024-04-07,257.18
490,2024-04-08,257.48
491,2024-04-09,257.85
492,2024-04-10,254.97
493,2024-04-11,256.7
494,2024-04-12,253.0
495,2024-04-13,253.0
496,2024-04-14,253.0
497,2024-04-15,249.89
498,2024-04-16,249.14
499,2024-04-17,247.68
500,2024-04-18,247.17
501,2024-04-19,245.23
502,2024-04-20,245.23
503,2024-04-21,245.23
504,2024-04-22,247.64
505,2024-04-23,250.59
506,2024-04-24,250.65
507,2024-04-25,249.46
508,2024-04-26,251.78
509,2024-04-27,251.78
510,2024-04-28,251.78
511,2024-04-29,252.77
512,2024-04-30,248.61
513,2024-05-01,247.99
514,2024-05-02,250.56
515,2024-05-03,253.53
516,2024-05-04,253.53
517,2024-05-05,253.53
518,2024-05-06,256.25
519,2024-05-07,256.48
520,2024-05-08,256.3
521,2024-05-09,257.81
522,2024-05-10,258.05
523,2024-05-11,258.05
524,2024-05-12,258.05
525,2024-05-13,258.19
526,2024-05-14,259.45
527,2024-05-15,262.64
528,2024-05-16,261.93
529,2024-05-17,262.3
530,2024-05-18,262.3
531,2024-05-19,262.3
532,2024-05-20,262.57
533,2024-05-21,263.11
534,2024-05-22,262.22
535,2024-05-23,259.99
536,2024-05-24,261.87
537,2024-05-25,261.87
538,2024-05-26,261.87
539,2024-05-27,261.87
540,2024-05-28,261.87
541,2024-05-29,259.72
542,2024-05-30,258.45
543,2024-05-31,260.44
544,2024-06-01,260.44
545,2024-06-02,260.44
546,2024-06-03,260.52
547,2024-06-04,260.49
548,2024-06-05,263.68
549,2024-06-06,263.45
550,2024-06-07,262.95
551,2024-06-08,262.95
552,2024-06-09,262.95
553,2024-06-10,263.83
554,2024-06-11,264.28
555,2024-06-12,266.77
556,2024-06-13,266.89
557,2024-06-14,266.69
558,2024-06-15,266.69
559,2024-06-16,266.69
560,2024-06-17,268.72
561,2024-06-18,269.4
562,2024-06-19,269.4
563,2024-06-20,268.72
564,2024-06-21,268.31
565,2024-06-22,268.31
566,2024-06-23,268.31
567,2024-06-24,267.86
568,2024-06-25,268.74
569,2024-06-26,268.73
570,2024-06-27,269.38
571,2024-06-28,267.51
572,2024-06-29,267.51
573,2024-06-30,267.51
574,2024-07-01,268.05
575,2024-07-02,269.6
576,2024-07-03,270.71
577,2024-07-04,270.71
578,2024-07-05,272.12
579,2024-07-06,272.12
580,2024-07-07,272.12
581,2024-07-08,272.49
582,2024-07-09,272.42
583,2024-07-10,275.06
584,2024-07-11,273.83
585,2024-07-12,275.64
586,2024-07-13,275.64
587,2024-07-14,275.64
588,2024-07-15,276.82
589,2024-07-16,279.1
590,2024-07-17,275.16
591,2024-07-18,272.76
