,ds,y
211,2023-07-04,1926.23
212,2023-07-05,1916.69
213,2023-07-06,1911.58
214,2023-07-07,1925.53
215,2023-07-08,1925.53
216,2023-07-09,1924.82
217,2023-07-10,1924.76
218,2023-07-11,1933.19
219,2023-07-12,1957.68
220,2023-07-13,1959.88
221,2023-07-14,1955.43
222,2023-07-15,1955.43
223,2023-07-16,1953.21
224,2023-07-17,1955.39
225,2023-07-18,1977.43
226,2023-07-19,1977.65
227,2023-07-20,1972.07
228,2023-07-21,1961.6
229,2023-07-22,1961.6
230,2023-07-23,1961.11
231,2023-07-24,1954.37
232,2023-07-25,1965.29
233,2023-07-26,1971.98
234,2023-07-27,1947.37
235,2023-07-28,1959.0
236,2023-07-29,1959.0
237,2023-07-30,1957.96
238,2023-07-31,1963.95
239,2023-08-01,1952.15
240,2023-08-02,1935.98
241,2023-08-03,1935.65
242,2023-08-04,1942.51
243,2023-08-05,1942.51
244,2023-08-06,1942.51
245,2023-08-07,1936.64
246,2023-08-08,1925.56
247,2023-08-09,1916.62
248,2023-08-10,1912.35
249,2023-08-11,1913.56
250,2023-08-12,1913.56
251,2023-08-13,1913.69
252,2023-08-14,1907.48
253,2023-08-15,1901.52
254,2023-08-16,1893.27
255,2023-08-17,1891.35
256,2023-08-18,1889.28
257,2023-08-19,1889.28
258,2023-08-20,1889.28
259,2023-08-21,1889.28
260,2023-08-22,1898.45
261,2023-08-23,1917.92
262,2023-08-24,1915.7
263,2023-08-25,1914.64
264,2023-08-26,1914.64
265,2023-08-27,1915.02
266,2023-08-28,1921.09
267,2023-08-29,1936.14
268,2023-08-30,1944.18
269,2023-08-31,1939.94
270,2023-09-01,1939.87
271,2023-09-02,1939.87
272,2023-09-03,1939.87
273,2023-09-04,1937.58
274,2023-09-05,1926.54
275,2023-09-06,1917.03
276,2023-09-07,1920.05
277,2023-09-08,1918.95
278,2023-09-09,1918.95
279,2023-09-10,1918.82
280,2023-09-11,1921.55
281,2023-09-12,1912.86
282,2023-09-13,1909.17
283,2023-09-14,1909.76
284,2023-09-15,1923.56
285,2023-09-16,1923.56
286,2023-09-17,1923.2
287,2023-09-18,1934.02
288,2023-09-19,1931.33
289,2023-09-20,1929.33
290,2023-09-21,1921.3
291,2023-09-22,1925.2
292,2023-09-23,1925.2
293,2023-09-24,1924.68
294,2023-09-25,1916.17
295,2023-09-26,1901.53
296,2023-09-27,1877.56
297,2023-09-28,1866.58
298,2023-09-29,1848.58
299,2023-09-30,1848.58
300,2023-10-01,1848.31
301,2023-10-02,1824.92
302,2023-10-03,1823.41
303,2023-10-04,1822.63
304,2023-10-05,1821.23
305,2023-10-06,1832.19
306,2023-10-07,1832.19
307,2023-10-08,1848.04
308,2023-10-09,1862.52
309,2023-10-10,1859.65
310,2023-10-11,1875.3
311,2023-10-12,1870.66
312,2023-10-13,1931.46
313,2023-10-14,1931.46
314,2023-10-15,1925.81
315,2023-10-16,1919.27
316,2023-10-17,1924.63
317,2023-10-18,1950.69
318,2023-10-19,1976.65
319,2023-10-20,1981.2
320,2023-10-21,1981.2
321,2023-10-22,1971.45
322,2023-10-23,1973.52
323,2023-10-24,1972.79
324,2023-10-25,1982.91
325,2023-10-26,1984.33
326,2023-10-27,2005.92
327,2023-10-28,2005.92
328,2023-10-29,2002.72
329,2023-10-30,1995.41
330,2023-10-31,1983.63
331,2023-11-01,1985.02
332,2023-11-02,1984.93
333,2023-11-03,1992.34
334,2023-11-04,1992.34
335,2023-11-05,1988.39
336,2023-11-06,1976.66
337,2023-11-07,1968.84
338,2023-11-08,1950.77
339,2023-11-09,1959.08
340,2023-11-10,1937.43
341,2023-11-11,1937.43
342,2023-11-12,1940.2
343,2023-11-13,1946.34
344,2023-11-14,1962.46
345,2023-11-15,1960.27
346,2023-11-16,1982.32
347,2023-11-17,1980.55
348,2023-11-18,1980.55
349,2023-11-19,1974.24
350,2023-11-20,1981.27
351,2023-11-21,1999.26
352,2023-11-22,1990.18
353,2023-11-23,1993.98
354,2023-11-24,2001.97
355,2023-11-25,2001.97
356,2023-11-26,2002.26
357,2023-11-27,2015.33
358,2023-11-28,2044.48
359,2023-11-29,2044.51
360,2023-11-30,2040.04
361,2023-12-01,2071.93
362,2023-12-02,2071.93
363,2023-12-03,2116.24
364,2023-12-04,2033.85
365,2023-12-05,2018.89
366,2023-12-06,2027.07
367,2023-12-07,2028.05
368,2023-12-08,2004.29
369,2023-12-09,2004.29
370,2023-12-10,2007.08
371,2023-12-11,1982.86
372,2023-12-12,1982.46
373,2023-12-13,2032.97
374,2023-12-14,2035.65
375,2023-12-15,2019.45
376,2023-12-16,2019.45
377,2023-12-17,2017.72
378,2023-12-18,2027.61
379,2023-12-19,2040.78
380,2023-12-20,2032.08
381,2023-12-21,2052.21
382,2023-12-22,2052.74
383,2023-12-23,2052.74
384,2023-12-24,2054.71
385,2023-12-25,2054.97
386,2023-12-26,2066.05
387,2023-12-27,2079.26
388,2023-12-28,2066.9
389,2023-12-29,2062.66
390,2023-12-30,2062.66
391,2023-12-31,2065.21
392,2024-01-01,2063.54
393,2024-01-02,2059.54
394,2024-01-03,2042.95
395,2024-01-04,2044.41
396,2024-01-05,2045.41
397,2024-01-06,2045.41
398,2024-01-07,2044.38
399,2024-01-08,2030.71
400,2024-01-09,2031.01
401,2024-01-10,2026.71
402,2024-01-11,2034.92
403,2024-01-12,2048.99
404,2024-01-13,2048.99
405,2024-01-14,2047.49
406,2024-01-15,2054.2
407,2024-01-16,2028.21
408,2024-01-17,2009.7
409,2024-01-18,2023.71
410,2024-01-19,2029.47
411,2024-01-20,2029.47
412,2024-01-21,2027.45
413,2024-01-22,2020.7
414,2024-01-23,2029.4
415,2024-01-24,2016.41
416,2024-01-25,2020.59
417,2024-01-26,2018.33
418,2024-01-27,2018.33
419,2024-01-28,2021.74
420,2024-01-29,2031.16
421,2024-01-30,2036.4
422,2024-01-31,2039.85
423,2024-02-01,2054.66
424,2024-02-02,2039.58
425,2024-02-03,2039.58
426,2024-02-04,2039.31
427,2024-02-05,2024.99
428,2024-02-06,2035.15
429,2024-02-07,2036.54
430,2024-02-08,2034.1
431,2024-02-09,2024.38
432,2024-02-10,2024.38
433,2024-02-11,2025.38
434,2024-02-12,2018.76
435,2024-02-13,1991.28
436,2024-02-14,1993.75
437,2024-02-15,2003.26
438,2024-02-16,2013.01
439,2024-02-17,2013.01
440,2024-02-18,2007.0
441,2024-02-19,2016.11
442,2024-02-20,2024.07
443,2024-02-21,2025.68
444,2024-02-22,2024.79
445,2024-02-23,2035.39
446,2024-02-24,2035.39
447,2024-02-25,2034.11
448,2024-02-26,2031.06
449,2024-02-27,2030.08
450,2024-02-28,2034.6
451,2024-02-29,2044.13
452,2024-03-01,2082.65
453,2024-03-02,2082.65
454,2024-03-03,2083.28
455,2024-03-04,2114.52
456,2024-03-05,2128.17
457,2024-03-06,2147.44
458,2024-03-07,2162.04
459,2024-03-08,2178.76
460,2024-03-09,2178.76
461,2024-03-10,2181.7
462,2024-03-11,2183.59
463,2024-03-12,2156.93
464,2024-03-13,2175.4
465,2024-03-14,2161.58
466,2024-03-15,2155.78
467,2024-03-16,2155.78
468,2024-03-17,2156.6
469,2024-03-18,2161.86
470,2024-03-19,2157.06
471,2024-03-20,2203.89
472,2024-03-21,2181.69
473,2024-03-22,2165.13
474,2024-03-23,2165.13
475,2024-03-24,2168.12
476,2024-03-25,2172.99
477,2024-03-26,2179.61
478,2024-03-27,2190.55
479,2024-03-28,2231.91
480,2024-03-29,2231.91
481,2024-03-30,2231.91
482,2024-03-31,2246.23
