,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2023-03-12,4.57,0.0,3.464516129032258,-0.093,302201.03225806454,0.013999999999999999,27493186.555555556,0.012,-64733.41935483871,0.624
2023-03-13,4.58,0.219,3.4612903225806453,-0.093,302242.5806451613,0.013999999999999999,27496454.577777777,0.012,-65134.54838709677,0.62
2023-03-14,4.58,0.0,3.458064516129032,-0.093,302284.12903225806,0.013999999999999999,27499722.6,0.012,-65535.67741935484,0.616
2023-03-15,4.58,0.0,3.454838709677419,-0.093,302325.67741935485,0.013999999999999999,27502990.622222222,0.012,-65936.80645161291,0.612
2023-03-16,4.58,0.0,3.4516129032258065,-0.093,302367.22580645164,0.013999999999999999,27506258.644444443,0.012,-66337.93548387097,0.608
2023-03-17,4.58,0.0,3.4483870967741934,-0.093,302408.77419354836,0.013999999999999999,27509526.666666668,0.012,-66739.06451612903,0.605
2023-03-18,4.58,0.0,3.445161290322581,-0.094,302450.32258064515,0.013999999999999999,27512794.68888889,0.012,-67140.19354838709,0.601
2023-03-19,4.58,0.0,3.4419354838709677,-0.094,302491.87096774194,0.013999999999999999,27516062.71111111,0.012,-67541.32258064517,0.597
2023-03-20,4.58,0.0,3.4387096774193546,-0.094,302533.4193548387,0.013999999999999999,27519330.733333334,0.012,-67942.45161290323,0.594
2023-03-21,4.58,0.0,3.435483870967742,-0.094,302574.96774193546,0.013999999999999999,27522598.755555555,0.012,-68343.58064516129,0.59
2023-03-22,4.58,0.0,3.432258064516129,-0.094,302616.51612903224,0.013999999999999999,27525866.777777776,0.012,-68744.70967741935,0.587
2023-03-23,4.83,5.459,3.429032258064516,-0.094,302658.06451612903,0.013999999999999999,27529134.8,0.012,-69145.83870967742,0.584
2023-03-24,4.83,0.0,3.425806451612903,-0.094,302699.6129032258,0.013999999999999999,27532402.82222222,0.012,-69546.96774193548,0.58
2023-03-25,4.83,0.0,3.42258064516129,-0.094,302741.1612903226,0.013999999999999999,27535670.844444446,0.012,-69948.09677419355,0.577
2023-03-26,4.83,0.0,3.4193548387096775,-0.094,302782.70967741933,0.013999999999999999,27538938.866666667,0.012,-70349.2258064516,0.573
2023-03-27,4.83,0.0,3.4161290322580644,-0.094,302824.2580645161,0.013999999999999999,27542206.888888888,0.012,-70750.35483870968,0.5700000000000001
2023-03-28,4.83,0.0,3.4129032258064513,-0.094,302865.8064516129,0.013999999999999999,27545474.911111113,0.012,-71151.48387096774,0.567
2023-03-29,4.83,0.0,3.4096774193548387,-0.095,302907.3548387097,0.013999999999999999,27548742.933333334,0.012,-71552.6129032258,0.5640000000000001
2023-03-30,4.83,0.0,3.4064516129032256,-0.095,302948.9032258064,0.013999999999999999,27552010.955555554,0.012,-71953.74193548388,0.561
2023-03-31,4.83,0.0,3.403225806451613,-0.095,302990.4516129032,0.013999999999999999,27555278.97777778,0.012,-72354.87096774194,0.557
2023-04-01,4.83,0.0,3.4,-0.095,303032.0,0.013999999999999999,27558547.0,0.012,-72756.0,0.5539999999999999
2023-04-02,4.83,0.0,3.41,0.294,303043.1,0.004,27564147.54945055,0.02,-72533.0,-0.307
2023-04-03,4.83,0.0,3.42,0.293,303054.2,0.004,27569748.0989011,0.02,-72310.0,-0.307
2023-04-04,4.83,0.0,3.4299999999999997,0.292,303065.3,0.004,27575348.648351647,0.02,-72087.0,-0.308
2023-04-05,4.83,0.0,3.44,0.292,303076.4,0.004,27580949.197802197,0.02,-71864.0,-0.309
2023-04-06,4.83,0.0,3.45,0.291,303087.5,0.004,27586549.747252747,0.02,-71641.0,-0.31
2023-04-07,4.83,0.0,3.46,0.29,303098.6,0.004,27592150.296703298,0.02,-71418.0,-0.311
2023-04-08,4.83,0.0,3.4699999999999998,0.28900000000000003,303109.7,0.004,27597750.846153848,0.02,-71195.0,-0.312
2023-04-09,4.83,0.0,3.48,0.28800000000000003,303120.8,0.004,27603351.395604394,0.02,-70972.0,-0.313
2023-04-10,4.83,0.0,3.49,0.28700000000000003,303131.9,0.004,27608951.945054945,0.02,-70749.0,-0.314
2023-04-11,4.83,0.0,3.5,0.28700000000000003,303143.0,0.004,27614552.494505495,0.02,-70526.0,-0.315
2023-04-12,4.83,0.0,3.51,0.28600000000000003,303154.1,0.004,27620153.043956045,0.02,-70303.0,-0.316
2023-04-13,4.83,0.0,3.52,0.28500000000000003,303165.2,0.004,27625753.59340659,0.02,-70080.0,-0.317
2023-04-14,4.83,0.0,3.5300000000000002,0.28400000000000003,303176.3,0.004,27631354.14285714,0.02,-69857.0,-0.318
2023-04-15,4.83,0.0,3.54,0.28300000000000003,303187.4,0.004,27636954.692307692,0.02,-69634.0,-0.319
2023-04-16,4.83,0.0,3.55,0.28200000000000003,303198.5,0.004,27642555.241758242,0.02,-69411.0,-0.32
2023-04-17,4.83,0.0,3.56,0.28200000000000003,303209.6,0.004,27648155.791208792,0.02,-69188.0,-0.321
2023-04-18,4.83,0.0,3.5700000000000003,0.281,303220.7,0.004,27653756.34065934,0.02,-68965.0,-0.322
2023-04-19,4.83,0.0,3.58,0.27999999999999997,303231.8,0.004,27659356.89010989,0.02,-68742.0,-0.32299999999999995
2023-04-20,4.83,0.0,3.59,0.27899999999999997,303242.9,0.004,27664957.43956044,0.02,-68519.0,-0.32399999999999995
2023-04-21,4.83,0.0,3.6,0.27899999999999997,303254.0,0.004,27670557.98901099,0.02,-68296.0,-0.325
2023-04-22,4.83,0.0,3.6100000000000003,0.27799999999999997,303265.1,0.004,27676158.53846154,0.02,-68073.0,-0.327
2023-04-23,4.83,0.0,3.62,0.27699999999999997,303276.2,0.004,27681759.087912086,0.02,-67850.0,-0.328
2023-04-24,4.83,0.0,3.63,0.27599999999999997,303287.3,0.004,27687359.637362637,0.02,-67627.0,-0.329
2023-04-25,4.83,0.0,3.64,0.27499999999999997,303298.4,0.004,27692960.186813187,0.02,-67404.0,-0.33
2023-04-26,4.83,0.0,3.6500000000000004,0.27499999999999997,303309.5,0.004,27698560.736263737,0.02,-67181.0,-0.331
2023-04-27,4.83,0.0,3.66,0.27399999999999997,303320.6,0.004,27704161.285714287,0.02,-66958.0,-0.332
2023-04-28,4.83,0.0,3.67,0.27299999999999996,303331.7,0.004,27709761.835164834,0.02,-66735.0,-0.333
2023-04-29,4.83,0.0,3.68,0.272,303342.8,0.004,27715362.384615384,0.02,-66512.0,-0.334
2023-04-30,4.83,0.0,3.6900000000000004,0.272,303353.9,0.004,27720962.934065934,0.02,-66289.0,-0.335
2023-05-01,4.83,0.0,3.7,0.271,303365.0,0.004,27726563.483516484,0.02,-66066.0,-0.336
2023-05-02,4.83,0.0,3.696774193548387,-0.087,303385.5806451613,0.006999999999999999,27732164.032967035,0.02,-66025.35483870968,-0.062
2023-05-03,4.83,0.0,3.6935483870967745,-0.087,303406.1612903226,0.006999999999999999,27737764.58241758,0.02,-65984.70967741935,-0.062
2023-05-04,5.08,5.176,3.6903225806451614,-0.087,303426.7419354839,0.006999999999999999,27743365.13186813,0.02,-65944.06451612903,-0.062
2023-05-05,5.08,0.0,3.6870967741935488,-0.087,303447.32258064515,0.006999999999999999,27748965.68131868,0.02,-65903.41935483871,-0.062
2023-05-06,5.08,0.0,3.6838709677419357,-0.087,303467.9032258064,0.006999999999999999,27754566.230769232,0.02,-65862.7741935484,-0.062
2023-05-07,5.08,0.0,3.6806451612903226,-0.08800000000000001,303488.48387096776,0.006999999999999999,27760166.78021978,0.02,-65822.12903225806,-0.062
2023-05-08,5.08,0.0,3.67741935483871,-0.08800000000000001,303509.06451612903,0.006999999999999999,27765767.32967033,0.02,-65781.48387096774,-0.062
2023-05-09,5.08,0.0,3.674193548387097,-0.08800000000000001,303529.6451612903,0.006999999999999999,27771367.87912088,0.02,-65740.83870967742,-0.062
2023-05-10,5.08,0.0,3.670967741935484,-0.08800000000000001,303550.22580645164,0.006999999999999999,27776968.42857143,0.02,-65700.19354838709,-0.062
2023-05-11,5.08,0.0,3.667741935483871,-0.08800000000000001,303570.8064516129,0.006999999999999999,27782568.97802198,0.02,-65659.54838709677,-0.062
2023-05-12,5.08,0.0,3.664516129032258,-0.08800000000000001,303591.3870967742,0.006999999999999999,27788169.527472526,0.02,-65618.90322580645,-0.062
2023-05-13,5.08,0.0,3.6612903225806455,-0.08800000000000001,303611.96774193546,0.006999999999999999,27793770.076923076,0.02,-65578.25806451614,-0.062
2023-05-14,5.08,0.0,3.6580645161290324,-0.08800000000000001,303632.5483870968,0.006999999999999999,27799370.626373626,0.02,-65537.6129032258,-0.062
2023-05-15,5.08,0.0,3.6548387096774193,-0.08800000000000001,303653.12903225806,0.006999999999999999,27804971.175824177,0.02,-65496.967741935485,-0.062
2023-05-16,5.08,0.0,3.6516129032258067,-0.08800000000000001,303673.70967741933,0.006999999999999999,27810571.725274727,0.02,-65456.32258064516,-0.062
2023-05-17,5.08,0.0,3.6483870967741936,-0.08800000000000001,303694.29032258067,0.006999999999999999,27816172.274725273,0.02,-65415.67741935484,-0.062
2023-05-18,5.08,0.0,3.645161290322581,-0.08800000000000001,303714.87096774194,0.006999999999999999,27821772.824175823,0.02,-65375.032258064515,-0.062
2023-05-19,5.08,0.0,3.641935483870968,-0.08800000000000001,303735.4516129032,0.006999999999999999,27827373.373626374,0.02,-65334.3870967742,-0.062
2023-05-20,5.08,0.0,3.638709677419355,-0.089,303756.03225806454,0.006999999999999999,27832973.923076924,0.02,-65293.74193548387,-0.062
2023-05-21,5.08,0.0,3.635483870967742,-0.089,303776.6129032258,0.006999999999999999,27838574.472527474,0.02,-65253.096774193546,-0.062
2023-05-22,5.08,0.0,3.632258064516129,-0.089,303797.1935483871,0.006999999999999999,27844175.02197802,0.02,-65212.45161290323,-0.062
2023-05-23,5.08,0.0,3.629032258064516,-0.089,303817.77419354836,0.006999999999999999,27849775.57142857,0.02,-65171.8064516129,-0.062
2023-05-24,5.08,0.0,3.6258064516129034,-0.089,303838.3548387097,0.006999999999999999,27855376.12087912,0.02,-65131.16129032258,-0.062
2023-05-25,5.08,0.0,3.6225806451612903,-0.089,303858.93548387097,0.006999999999999999,27860976.67032967,0.02,-65090.51612903226,-0.062
2023-05-26,5.08,0.0,3.6193548387096777,-0.089,303879.51612903224,0.006999999999999999,27866577.21978022,0.02,-65049.87096774193,-0.062
2023-05-27,5.08,0.0,3.6161290322580646,-0.089,303900.0967741936,0.006999999999999999,27872177.769230768,0.02,-65009.22580645161,-0.062
2023-05-28,5.08,0.0,3.6129032258064515,-0.089,303920.67741935485,0.006999999999999999,27877778.31868132,0.02,-64968.58064516129,-0.063
2023-05-29,5.08,0.0,3.609677419354839,-0.089,303941.2580645161,0.006999999999999999,27883378.86813187,0.02,-64927.93548387097,-0.063
2023-05-30,5.08,0.0,3.606451612903226,-0.089,303961.8387096774,0.006999999999999999,27888979.41758242,0.02,-64887.290322580644,-0.063
