,v,vw,o,c,h,l,t,n
122,13936.936930806192,27836.9627,27489.56,27992.9,28240.4,27438.0,1679788800000,367295
123,24937.53993555716,27325.3821,27995.27,27142.87,28053.26,26491.9,1679875200000,453920
124,19481.2331157522,27042.0175,27142.85,27274.15,27529.0,26600.0,1679961600000,507096
125,25753.42812722712,28188.5146,27274.18,28359.54,28654.06,27253.0,1680048000000,577379
126,29743.217287079442,28393.5617,28359.54,28035.48,29190.04,27677.0,1680134400000,609242
127,24987.374674273757,28227.6258,28034.88,28474.4,28651.0,27504.0,1680220800000,541453
128,10235.05993186201,28485.6535,28468.2,28471.46,28826.45,28201.0,1680307200000,324734
129,9693.856631771449,28186.337,28471.03,28188.34,28544.21,27839.0,1680393600000,291931
130,24030.99884093056,27983.4019,28188.34,27800.7,28525.0,27212.7,1680480000000,501489
131,17115.182552042217,28123.1659,27809.55,28179.64,28450.0,27668.8,1680566400000,426891
132,21008.497384932703,28327.9639,28178.66,28175.37,28801.0,27813.1,1680652800000,452807
133,13692.477772902093,27992.9105,28152.0,28053.46,28199.11,27700.0,1680739200000,395447
134,7506.164169892444,27941.7789,28052.74,27931.94,28120.71,27755.0,1680825600000,318360
135,5070.492533032284,28012.1536,27923.0,27958.81,28175.89,27833.0,1680912000000,234528
136,8505.31081317124,28133.4398,27958.19,28340.99,28548.7,27767.0,1680998400000,255542
137,23345.606096754822,28947.58,28342.28,29660.41,29800.0,28136.0,1681084800000,451490
138,27027.70551938131,30124.4442,29654.9,30227.19,30586.0,29579.0,1681171200000,561381
139,21231.049841125543,30056.1626,30227.18,29912.2,30517.0,29645.8,1681257600000,455711
140,17930.83316802443,30299.536,29912.2,30406.78,30650.8,29867.0,1681344000000,438589
141,27510.62918843973,30588.0128,30385.0,30492.92,31050.0,30000.0,1681430400000,564849
142,7861.33127586215,30386.9614,30492.91,30324.11,30624.1,30192.0,1681516800000,320185
143,9504.127951621076,30334.4061,30325.07,30326.09,30623.0,30103.0,1681603200000,271427
144,19229.837173161322,29685.0997,30316.1,29449.91,30340.21,29251.71,1681689600000,390906
